npsn,nama_sekolah,jenis_sekolah,kode_kabupaten,nama_kabupaten,kode_provinsi,nama_provinsi,akreditasi_sekolah,tanggal_mulai_akreditasi,tanggal_kadaluarsa,nilai_akreditasi,kepemilikan,sumber_data_nilai
10100572,SMA NEGERI 1 GLUMPANG TIGA,SMA,060200,Kab. Pidie,060000,Prov. Aceh,A,08-12-2021,31-12-2021,93,Pemerintah Daerah,Isi Manual
10100573,SMAN 1 INDRAJAYA,SMA,060200,Kab. Pidie,060000,Prov. Aceh,A,08-12-2021,31-12-2021,91,Pemerintah Daerah,Isi Manual
10100575,SMA NEGERI 1 MEUREUDU,SMA,062000,Kab. Pidie Jaya,060000,Prov. Aceh,A,20-10-2022,20-10-2027,92,Pemerintah Daerah,Isi Manual
10101182,SMA NEGERI 1 MEURAH MULIA,SMA,060300,Kab. Aceh Utara,060000,Prov. Aceh,B,08-12-2021,31-12-2021,85,Pemerintah Daerah,Isi Manual
10101306,SMA NEGERI 1 SEUNUDDON,SMA,060300,Kab. Aceh Utara,060000,Prov. Aceh,A,08-12-2021,31-12-2021,91,Pemerintah Pusat,Isi Manual
10101872,SMA NEGERI 1 SIMPANG ULIM,SMA,060400,Kab. Aceh Timur,060000,Prov. Aceh,A,06-01-2025,06-01-2030,0,Pemerintah Daerah,Isi Manual
10101881,SMA NEGERI 1 PEUREULAK,SMA,060400,Kab. Aceh Timur,060000,Prov. Aceh,A,30-11-2022,18-11-2027,93,Pemerintah Daerah,Isi Manual
10102181,SMA NEGERI 4 TAKENGON,SMA,060500,Kab. Aceh Tengah,060000,Prov. Aceh,A,30-11-2022,18-11-2027,94,Pemerintah Daerah,Isi Manual
10102261,SMA NEGERI 5 TAKENGON,SMA,060500,Kab. Aceh Tengah,060000,Prov. Aceh,A,30-11-2022,18-11-2027,92,Pemerintah Daerah,Isi Manual
10102283,SMA NEGERI 8 TAKENGON UNGGUL,SMA,060500,Kab. Aceh Tengah,060000,Prov. Aceh,A,26-09-2023,26-09-2028,94,Pemerintah Daerah,Isi Manual
10102499,SMK NEGERI 2 WOYLA,SMK,060600,Kab. Aceh Barat,060000,Prov. Aceh,C,12-12-2023,01-01-1900,79,Pemerintah Daerah,Isi Manual
10102502,SMA NEGERI 1 KAWAY XVI,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,B,06-01-2025,06-01-2030,0,Pemerintah Pusat,Isi Manual
10102505,SMA NEGERI 1 MEULABOH,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,A,30-11-2022,18-11-2027,96,Pemerintah Daerah,Isi Manual
10102506,SMA NEGERI 1 SAMATIGA,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,C,20-10-2022,20-10-2027,78,Pemerintah Daerah,Isi Manual
10102509,SMA NEGERI 1 WOYLA,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,B,11-04-2025,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102514,SMA NEGERI 1 SUNGAI MAS,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102516,SMA SWASTA ISLAM SERAMBI MEUKAH,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,C,08-12-2021,31-12-2021,0,Yayasan,Isi Manual
10102529,SMA NEGERI 3 MEULABOH,SMA,060600,Kab. Aceh Barat,060000,Prov. Aceh,A,30-11-2022,18-11-2027,92,Pemerintah Daerah,Isi Manual
10102571,SMK NEGERI 1 MEULABOH,SMK,060600,Kab. Aceh Barat,060000,Prov. Aceh,A,30-09-2022,16-01-2027,92,Pemerintah Daerah,Isi Manual
10102722,SMA NEGERI 1 LABUHAN HAJI,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102726,SMA NEGERI 1 TRUMON TIMUR,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102727,SMA NEGERI 2 KLUET UTARA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102728,SMAN 1 KLUET TENGAH,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102729,SMA NEGERI 1 TAPAKTUAN,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102730,SMAN 1 TRUMON,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,08-12-2021,31-12-2021,94,Pemerintah Daerah,Isi Manual
10102731,SMAN 1 KLUET TIMUR,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,08-12-2021,31-12-2021,83,Pemerintah Pusat,Isi Manual
10102732,SMA NEGERI 1 KLUET UTARA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,20-10-2022,20-10-2027,93,Pemerintah Daerah,Isi Manual
10102740,SMAN 1 LABUHAN HAJI BARAT,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,06-01-2025,06-01-2030,0,Pemerintah Daerah,Isi Manual
10102742,SMKN MEUKEK,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,31-12-2027,88,Pemerintah Daerah,Isi Manual
10102743,SMK NEGERI 1 TRUMON TIMUR,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,31-12-2027,89,Pemerintah Daerah,Isi Manual
10102744,SMA NEGERI UNGGUL TAPAKTUAN,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102770,SMAN 1 MEUKEK,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,11-04-2025,31-12-2029,0,Pemerintah Daerah,Isi Manual
10102771,SMA NEGERI 1 SAMADUA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Pusat,Isi Manual
10102772,SMK NEGERI 1 PASIE RAJA,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,31-12-2027,87,Pemerintah Daerah,Isi Manual
10102773,SMK NEGERI 1 TAPAKTUAN,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,30-11-2022,31-12-2027,92,Pemerintah Daerah,Isi Manual
10102774,SMKN 1 LABUHANHAJI,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,23-10-2023,23-10-2028,87,Pemerintah Daerah,Isi Manual
10102775,SMK NEGERI 1 SAMADUA,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,31-12-2027,83,Pemerintah Daerah,Isi Manual
10102783,SMKN 1 KLUET SELATAN,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,08-12-2021,31-12-2021,84,Pemerintah Daerah,Isi Manual
10102784,SMK NEGERI 1 SAWANG,SMK,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,08-12-2021,31-12-2021,0,Pemerintah Daerah,Isi Manual
10102785,SMAN 1 SAWANG,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,06-01-2025,06-01-2030,0,Pemerintah Daerah,Isi Manual
10102787,SMAN 1 KLUET SELATAN,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,08-12-2021,31-12-2021,91,Pemerintah Pusat,Isi Manual
10102788,SMAN 1 PASIE RAJA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,A,08-12-2021,31-12-2021,91,Pemerintah Daerah,Isi Manual
